采集日期,日报截屏上送时长（小时）,原始上送时长（小时）,原始上送时长（分钟）,运营端不合格时长（小时）,运营端不合格时长（分钟）,不合格时长占比,数据记录差异,设备ID,采集点,采集点对接人
2025-10-27,0.0,0.01,0.3,0.01,0.3,100.0%,0.01,7cf6,,
2025-10-28,0.0,2.81,168.8,0.05,3.0,1.78%,2.81,2ed0,,
2025-10-28,0.0,0.12,7.4,0.12,7.4,100.0%,0.12,7cf6,,
2025-10-28,0.0,0.55,32.7,0.04,2.3,7.27%,0.55,d94e,,
2025-10-28,0.0,0.01,0.4,0.01,0.4,100.0%,0.01,e84e,,
2025-10-29,6.75,0.0,,,,,-6.75,2ed0,希利,罗圣峰
2025-10-29,31.5,0.64,38.6,0.14,8.6,21.88%,-30.86,57ff,遇见个超市,贺子豪
2025-10-29,6.75,0.0,,,,,-6.75,7cf6,希利,罗圣峰
2025-10-29,6.75,0.0,,,,,-6.75,d94e,希利,罗圣峰
2025-10-30,4.5,0.0,,,,,-4.5,2ed0,希利,罗圣峰
2025-10-30,0.0,5.51,330.7,0.43,25.95,7.8%,5.51,57ff,遇见个超市,贺子豪
2025-10-30,5.5,5.51,330.7,0.43,25.95,7.8%,0.01,57ff,遇见个超市,贺子豪
2025-10-30,4.5,0.0,,,,,-4.5,7cf6,希利,罗圣峰
2025-10-30,4.5,0.0,,,,,-4.5,d94e,希利,罗圣峰
2025-10-30,0.0,0.0,0.1,0.0,0.1,,0.0,e84e,,
2025-10-31,6.0,6.12,367.1,0.22,13.35,3.59%,0.12,2ed0,希利,罗圣峰
2025-10-31,8.0,8.11,486.5,1.56,93.75,19.24%,0.11,57ff,遇见个超市,贺子豪
2025-10-31,0.0,0.05,3.2,0.0,0.0,0.0%,0.05,7437,,
2025-10-31,6.0,6.13,367.9,0.26,15.35,4.24%,0.13,7cf6,希利,罗圣峰
2025-10-31,6.0,5.96,357.9,0.65,39.2,10.91%,-0.04,d94e,希利,罗圣峰
2025-10-31,0.0,1.89,113.1,0.85,50.85,44.97%,1.89,e84e,,
2025-11-01,2.75,6.5,390.2,0.26,15.6,4.0%,3.75,2ed0,希利,罗圣峰
2025-11-01,8.0,8.06,483.7,0.59,35.25,7.32%,0.06,57ff,遇见个超市,贺子豪
2025-11-01,2.5,6.68,400.6,0.86,51.75,12.87%,4.18,7cf6,希利,罗圣峰
2025-11-01,2.75,5.97,358.4,0.42,25.15,7.04%,3.22,d94e,希利,罗圣峰
2025-11-03,7.0,6.85,411.1,0.15,9.25,2.19%,-0.15,2ed0,希利,罗圣峰
2025-11-03,8.0,8.01,480.8,0.69,41.15,8.61%,0.01,57ff,遇见个超市,贺子豪
2025-11-03,7.0,6.93,415.7,0.5,29.75,7.22%,-0.07,7cf6,希利,罗圣峰
2025-11-03,7.0,3.5,210.1,0.15,8.75,4.29%,-3.5,d94e,希利,罗圣峰
2025-11-04,6.75,6.79,407.3,0.12,7.25,1.77%,0.04,2ed0,希利,罗圣峰
2025-11-04,0.0,0.11,6.8,0.0,0.0,0.0%,0.11,4f46,,
2025-11-04,8.0,7.98,478.7,1.45,86.75,18.17%,-0.02,57ff,遇见个超市,贺子豪
2025-11-04,0.0,0.83,50.0,0.16,9.55,19.28%,0.83,7437,,
2025-11-04,6.75,6.78,406.8,0.54,32.65,7.96%,0.03,7cf6,希利,罗圣峰
2025-11-04,0.0,0.03,1.6,0.0,0.0,0.0%,0.03,821e,,
2025-11-04,6.75,6.68,401.0,0.76,45.75,11.38%,-0.07,d94e,希利,罗圣峰
2025-11-05,5.0,5.13,307.7,0.01,0.6,0.19%,0.13,2ed0,希利,罗圣峰
2025-11-05,8.0,5.59,335.2,3.35,201.05,59.93%,-2.41,57ff,遇见个超市,贺子豪
2025-11-05,0.0,2.82,169.4,0.03,1.7,1.06%,2.82,7437,,
2025-11-05,5.0,5.44,326.5,0.45,27.0,8.27%,0.44,7cf6,希利,罗圣峰
2025-11-05,0.0,0.26,15.7,0.0,0.0,0.0%,0.26,821e,,
2025-11-05,0.0,2.6,156.0,0.35,20.75,13.46%,2.6,8f4a,,
2025-11-05,0.0,0.41,24.7,0.41,24.7,100.0%,0.41,d70d,,
2025-11-05,5.0,5.01,300.8,0.7,41.85,13.97%,0.01,d94e,希利,罗圣峰
2025-11-06,0.0,2.55,152.8,0.17,10.0,6.67%,2.55,0fe4,,
2025-11-06,6.5,6.6,395.8,0.05,3.25,0.76%,0.1,2ed0,希利,罗圣峰
2025-11-06,0.0,3.41,204.7,0.35,21.0,10.26%,3.41,4f46,,
2025-11-06,0.0,2.46,147.4,0.52,31.0,21.14%,2.46,7437,,
2025-11-06,6.5,6.69,401.5,0.45,27.05,6.73%,0.19,7cf6,希利,罗圣峰
2025-11-06,3.75,4.43,265.8,2.1,125.8,47.4%,0.68,821e,东莞,贺子豪
