原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/12/2,7393,2025-12-02,7393,表1,True
2025/12/3,7393,2025-12-03,7393,表1,True
2025/12/4,7393,2025-12-04,7393,表1,True
2025/12/5,7393,2025-12-05,7393,表1,True
2025/12/6,7393,2025-12-06,7393,表1,True
2025/12/7,7393,2025-12-07,7393,表1,True
2025/12/8,7393,2025-12-08,7393,表1,True
2025/12/9,7393,2025-12-09,7393,表1,True
2025/12/4,3748,2025-12-04,3748,表1,True
2025/12/5,3748,2025-12-05,3748,表1,True
2025/12/6,4591,2025-12-06,4591,表1,True
2025/12/8,1c2d,2025-12-08,1c2d,表1,True
2025/12/9,3748,2025-12-09,3748,表1,True
2025/12/10,1c2d,2025-12-10,1c2d,表1,True
2025/12/10,3748,2025-12-10,3748,表1,True
2025/12/8,5606,2025-12-08,5606,表1,True
2025/12/9,5606,2025-12-09,5606,表1,True
2025/12/10,7393,2025-12-10,7393,表1,True
2025/12/10,5606,2025-12-10,5606,表1,True
2025/12/11,7393,2025-12-11,7393,表1,True
2025/12/11,1c2d,2025-12-11,1c2d,表1,True
2025/12/11,3748,2025-12-11,3748,表1,True
2025/12/11,5606,2025-12-11,5606,表1,True
2025/12/12,7393,2025-12-12,7393,表1,True
2025/12/12,1c2d,2025-12-12,1c2d,表1,True
2025/12/12,3748,2025-12-12,3748,表1,True
2025/12/12,5606,2025-12-12,5606,表1,True
2025/12/13,7393,2025-12-13,7393,表1,True
2025/12/13,1c2d,2025-12-13,1c2d,表1,True
2025/12/13,3748,2025-12-13,3748,表1,True
2025/12/13,5606,2025-12-13,5606,表1,True
2025/12/14,7393,2025-12-14,7393,表1,True
2025/12/14,1c2d,2025-12-14,1c2d,表1,True
2025/12/14,3748,2025-12-14,3748,表1,True
2025/12/14,5606,2025-12-14,5606,表1,True
2025/12/14,9ace,2025-12-14,9ace,表1,True
2025/12/14,f3ed,2025-12-14,f3ed,表1,True
2025/12/15,7393,2025-12-15,7393,表1,True
2025/12/15,1c2d,2025-12-15,1c2d,表1,True
2025/12/15,3748,2025-12-15,3748,表1,True
2025/12/15,5606,2025-12-15,5606,表1,True
2025/12/15,9ace,2025-12-15,9ace,表1,True
2025/12/15,f3ed,2025-12-15,f3ed,表1,True
2025/12/16,7393,2025-12-16,7393,表1,True
2025/12/16,1c2d,2025-12-16,1c2d,表1,True
2025/12/16,3748,2025-12-16,3748,表1,True
2025/12/16,5606,2025-12-16,5606,表1,True
2025/12/16,9ace,2025-12-16,9ace,表1,True
2025/12/16,f3ed,2025-12-16,f3ed,表1,True
2025/12/16,,2025-12-16,,表1,True
2025/12/17,7393,2025-12-17,7393,表1,True
2025/12/17,1c2d,2025-12-17,1c2d,表1,True
2025/12/17,3748,2025-12-17,3748,表1,True
2025/12/17,5606,2025-12-17,5606,表1,True
2025/12/17,9ace,2025-12-17,9ace,表1,True
2025/12/17,f3ed,2025-12-17,f3ed,表1,True
2025/12/17,,2025-12-17,,表1,True
2025/12/18,7393,2025-12-18,7393,表1,True
2025/12/18,1c2d,2025-12-18,1c2d,表1,True
2025/12/18,3748,2025-12-18,3748,表1,True
2025/12/18,5606,2025-12-18,5606,表1,True
2025/12/18,9ace,2025-12-18,9ace,表1,True
2025/12/18,f3ed,2025-12-18,f3ed,表1,True
2025/12/18,,2025-12-18,,表1,True
2025/12/19,7393,2025-12-19,7393,表1,True
2025/12/19,1c2d,2025-12-19,1c2d,表1,True
2025/12/19,3748,2025-12-19,3748,表1,True
